trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
288,False,"{'a': 0.001, 'e': 0.0256387855430813}",25,8,28.536489628591433,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.001, 'e': 0.025180151647849702}",25,12,23.552341401034283,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.001, 'e': 0.024734866029738845}",25,7,33.39868563872513,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.001, 'e': 0.024302546118694313}",25,11,27.121805315694797,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.001, 'e': 0.023882819964106794}",20,9,18.35177662983376,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.001, 'e': 0.023475325960330085}",20,6,25.731831274052546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.001, 'e': 0.02307971257807262}",25,15,19.884538641056682,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.001, 'e': 0.02269563810161679}",25,15,-0.9591490262609885,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
296,False,"{'a': 0.001, 'e': 0.02232277037181163}",25,19,14.904818628733004,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.001, 'e': 0.021960786534780397}",20,8,20.19537634874528,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.001, 'e': 0.021609372796279835}",20,11,15.642595969650895,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.001, 'e': 0.021268224181643758}",30,17,26.32804682920082,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.001, 'e': 0.02093704430124277}",35,9,51.06194565762801,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.001, 'e': 0.020615545121382528}",30,20,19.912124720081888,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.001, 'e': 0.020303446740567388}",30,8,36.635330481042686,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.001, 'e': 0.02000047717104858}",25,14,24.561718051290637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.001, 'e': 0.019706372125577465}",25,8,30.430472219451314,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.001, 'e': 0.01942087480927901}",20,6,25.75363257650318,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.001, 'e': 0.01914373571656247}",25,18,-7.3093863809080535,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
307,False,"{'a': 0.001, 'e': 0.018874712432984442}",20,11,16.72531635454086,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.001, 'e': 0.01861356944197501}",20,14,-1.7864237606084503,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 0.001, 'e': 0.018360077936342645}",30,20,18.66716378547634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.001, 'e': 0.018114015634467573}",25,14,22.56719908595196,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.001, 'e': 0.017875166601096115}",25,10,29.78570905477775,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.001, 'e': 0.017643321072647766}",20,0,21.144710309794668,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
313,False,"{'a': 0.001, 'e': 0.017418275286945506}",30,8,34.34086625675977,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.001, 'e': 0.017199831317281533}",20,8,21.18947044851697,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.001, 'e': 0.01698779691072949}",35,26,16.34754823911602,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.001, 'e': 0.01678198533061548}",25,19,12.36665222618662,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.001, 'e': 0.016582215203060913}",25,14,20.15850710621685,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.001, 'e': 0.016388310367509207}",30,13,31.508757030102338,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.001, 'e': 0.016200099731150774}",25,13,21.04011220718122,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.001, 'e': 0.016017417127161093}",25,5,26.134580874220706,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
321,False,"{'a': 0.001, 'e': 0.015840101176666344}",20,12,16.772038047626964,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.001, 'e': 0.01566799515435402}",25,16,19.93917360525701,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.001, 'e': 0.015500946857644582}",35,16,40.63329553129381,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.001, 'e': 0.015338808479343102}",25,0,42.59515064598496,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.001, 'e': 0.015181436483690192}",20,16,9.091896089876117,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.001, 'e': 0.015028691485733381}",30,12,34.559470804013294,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.001, 'e': 0.014880438133937912}",25,17,15.946799132241432,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,18.800386797798645,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
